"時点","地域コード","地域","新設住宅着工戸数（総戸数）【戸】","注記"
"2018年","16000","富山県","6402",""
"2018年","17000","石川県","7609",""
"2018年","18000","福井県","4337",""
"2018年","19000","山梨県","4518",""
"2018年","20000","長野県","12477",""
"2018年","21000","岐阜県","11254",""
"2018年","22000","静岡県","23405",""
"2018年","23000","愛知県","66978",""
"2018年","24000","三重県","10616",""
"2018年","25000","滋賀県","9459",""
"2018年","26000","京都府","14704",""
"2018年","27000","大阪府","75659",""
"2018年","28000","兵庫県","31245",""
"2018年","29000","奈良県","6287",""
"2018年","30000","和歌山県","4935",""
"2018年","31000","鳥取県","2957",""
"2018年","32000","島根県","3374",""
"2018年","33000","岡山県","13118",""
"2018年","34000","広島県","18434",""
"2018年","35000","山口県","8369",""
"2018年","36000","徳島県","4335",""
"2018年","37000","香川県","5913",""
"2018年","38000","愛媛県","7178",""
"2018年","39000","高知県","3288",""
"2018年","40000","福岡県","40704",""
"2018年","41000","佐賀県","5574",""
"2018年","42000","長崎県","6726",""
"2018年","43000","熊本県","17234",""
"2018年","44000","大分県","7549",""
"2018年","45000","宮崎県","6708",""
"2018年","46000","鹿児島県","9819",""
"2018年","47000","沖縄県","16803",""
"2019年","01000","北海道","32624",""
"2019年","02000","青森県","6174",""
"2019年","03000","岩手県","8460",""
"2019年","04000","宮城県","17591",""
"2019年","05000","秋田県","4209",""
"2019年","06000","山形県","5755",""
"2019年","07000","福島県","11043",""
"2019年","08000","茨城県","17971",""
"2019年","09000","栃木県","11988",""
"2019年","10000","群馬県","11935",""
"2019年","11000","埼玉県","50660",""
"2019年","12000","千葉県","45946",""
"2019年","13000","東京都","139015",""
"2019年","14000","神奈川県","73209",""
"2019年","15000","新潟県","11488",""
"2019年","16000","富山県","6139",""
"2019年","17000","石川県","8237",""
"2019年","18000","福井県","4989",""
"2019年","19000","山梨県","4841",""
"2019年","20000","長野県","12592",""
"2019年","21000","岐阜県","12001",""
"2019年","22000","静岡県","22198",""
"2019年","23000","愛知県","66403",""
"2019年","24000","三重県","10162",""
"2019年","25000","滋賀県","8712",""
"2019年","26000","京都府","15600",""
"2019年","27000","大阪府","70002",""
"2019年","28000","兵庫県","32110",""
"2019年","29000","奈良県","6170",""
"2019年","30000","和歌山県","5188",""
"2019年","31000","鳥取県","2616",""
"2019年","32000","島根県","4177",""
"2019年","33000","岡山県","13200",""
"2019年","34000","広島県","18845",""
"2019年","35000","山口県","7311",""
"2019年","36000","徳島県","4122",""
"2019年","37000","香川県","5680",""
"2019年","38000","愛媛県","7756",""
"2019年","39000","高知県","3310",""
"2019年","40000","福岡県","39860",""
"2019年","41000","佐賀県","5673",""
"2019年","42000","長崎県","6749",""
"2019年","43000","熊本県","14979",""
"2019年","44000","大分県","6926",""
"2019年","45000","宮崎県","6463",""
"2019年","46000","鹿児島県","8946",""
"2019年","47000","沖縄県","15098",""
"2020年","01000","北海道","31339",""
"2020年","02000","青森県","5671",""
"2020年","03000","岩手県","5956",""
"2020年","04000","宮城県","14451",""
"2020年","05000","秋田県","3838",""
"2020年","06000","山形県","5005",""
"2020年","07000","福島県","9868",""
"2020年","08000","茨城県","16339",""
"2020年","09000","栃木県","11072",""
"2020年","10000","群馬県","10179",""
"2020年","11000","埼玉県","48039",""
"2020年","12000","千葉県","43070",""
"2020年","13000","東京都","131614",""
"2020年","14000","神奈川県","60737",""
"2020年","15000","新潟県","10851",""
"2020年","16000","富山県","5253",""
"2020年","17000","石川県","6944",""
"2020年","18000","福井県","4009",""
"2020年","19000","山梨県","4101",""
"2020年","20000","長野県","11721",""
"2020年","21000","岐阜県","10571",""
"2020年","22000","静岡県","20397",""
"2020年","23000","愛知県","54951",""
"2020年","24000","三重県","9558",""
"2020年","25000","滋賀県","8838",""
"2020年","26000","京都府","15592",""
"2020年","27000","大阪府","64988",""
"2020年","28000","兵庫県","30884",""
"2020年","29000","奈良県","5141",""
"2020年","30000","和歌山県","4514",""
"2020年","31000","鳥取県","2511",""
"2020年","32000","島根県","3319",""
"2020年","33000","岡山県","12103",""
"2020年","34000","広島県","16050",""
"2020年","35000","山口県","6217",""
"2020年","36000","徳島県","3554",""
"2020年","37000","香川県","4747",""
"2020年","38000","愛媛県","8049",""
"2020年","39000","高知県","3437",""
"2020年","40000","福岡県","34464",""
"2020年","41000","佐賀県","4409",""
"2020年","42000","長崎県","5924",""
"2020年","43000","熊本県","12903",""
"2020年","44000","大分県","6892",""
"2020年","45000","宮崎県","5886",""
"2020年","46000","鹿児島県","8681",""
"2020年","47000","沖縄県","10703",""
"2021年","01000","北海道","32880",""
"2021年","02000","青森県","5551",""
