"時点","地域コード","地域","旅館営業施設数（ホテルを含む）【施設】","注記"
"1988年","12000","千葉県","2430",""
"1988年","13000","東京都","2663",""
"1988年","14000","神奈川県","2605",""
"1988年","15000","新潟県","4021",""
"1988年","16000","富山県","779",""
"1988年","17000","石川県","1286",""
"1988年","18000","福井県","1503",""
"1988年","19000","山梨県","1773",""
"1988年","20000","長野県","4278",""
"1988年","21000","岐阜県","2015",""
"1988年","22000","静岡県","5594",""
"1988年","23000","愛知県","2380",""
"1988年","24000","三重県","2601",""
"1988年","25000","滋賀県","895",""
"1988年","26000","京都府","1412",""
"1988年","27000","大阪府","1712",""
"1988年","28000","兵庫県","2865",""
"1988年","29000","奈良県","687",""
"1988年","30000","和歌山県","1389",""
"1988年","31000","鳥取県","684",""
"1988年","32000","島根県","858",""
"1988年","33000","岡山県","1279",""
"1988年","34000","広島県","1262",""
"1988年","35000","山口県","1499",""
"1988年","36000","徳島県","973",""
"1988年","37000","香川県","891",""
"1988年","38000","愛媛県","1185",""
"1988年","39000","高知県","845",""
"1988年","40000","福岡県","1935",""
"1988年","41000","佐賀県","635",""
"1988年","42000","長崎県","1105",""
"1988年","43000","熊本県","1779",""
"1988年","44000","大分県","1684",""
"1988年","45000","宮崎県","824",""
"1988年","46000","鹿児島県","1750",""
"1988年","47000","沖縄県","939",""
"1989年","01000","北海道","4541",""
"1989年","02000","青森県","1400",""
"1989年","03000","岩手県","1281",""
"1989年","04000","宮城県","1252",""
"1989年","05000","秋田県","948",""
"1989年","06000","山形県","1329",""
"1989年","07000","福島県","2445",""
"1989年","08000","茨城県","1757",""
"1989年","09000","栃木県","1997",""
"1989年","10000","群馬県","1763",""
"1989年","11000","埼玉県","1141",""
"1989年","12000","千葉県","2392",""
"1989年","13000","東京都","2587",""
"1989年","14000","神奈川県","2574",""
"1989年","15000","新潟県","4285",""
"1989年","16000","富山県","761",""
"1989年","17000","石川県","1278",""
"1989年","18000","福井県","1522",""
"1989年","19000","山梨県","1791",""
"1989年","20000","長野県","4330",""
"1989年","21000","岐阜県","2005",""
"1989年","22000","静岡県","5601",""
"1989年","23000","愛知県","2336",""
"1989年","24000","三重県","2585",""
"1989年","25000","滋賀県","884",""
"1989年","26000","京都府","1401",""
"1989年","27000","大阪府","1671",""
"1989年","28000","兵庫県","2839",""
"1989年","29000","奈良県","694",""
"1989年","30000","和歌山県","1404",""
"1989年","31000","鳥取県","678",""
"1989年","32000","島根県","844",""
"1989年","33000","岡山県","1285",""
"1989年","34000","広島県","1253",""
"1989年","35000","山口県","1468",""
"1989年","36000","徳島県","958",""
"1989年","37000","香川県","904",""
"1989年","38000","愛媛県","1179",""
"1989年","39000","高知県","822",""
"1989年","40000","福岡県","1875",""
"1989年","41000","佐賀県","621",""
"1989年","42000","長崎県","1083",""
"1989年","43000","熊本県","1781",""
"1989年","44000","大分県","1664",""
"1989年","45000","宮崎県","814",""
"1989年","46000","鹿児島県","1728",""
"1989年","47000","沖縄県","941",""
"1990年","01000","北海道","4514",""
"1990年","02000","青森県","1388",""
"1990年","03000","岩手県","1294",""
"1990年","04000","宮城県","1249",""
"1990年","05000","秋田県","945",""
"1990年","06000","山形県","1301",""
"1990年","07000","福島県","2455",""
"1990年","08000","茨城県","1748",""
"1990年","09000","栃木県","2042",""
"1990年","10000","群馬県","1782",""
"1990年","11000","埼玉県","1126",""
"1990年","12000","千葉県","2372",""
"1990年","13000","東京都","2520",""
"1990年","14000","神奈川県","2537",""
"1990年","15000","新潟県","4329",""
"1990年","16000","富山県","755",""
"1990年","17000","石川県","1257",""
"1990年","18000","福井県","1535",""
"1990年","19000","山梨県","1831",""
"1990年","20000","長野県","4358",""
"1990年","21000","岐阜県","1999",""
"1990年","22000","静岡県","5592",""
"1990年","23000","愛知県","2318",""
"1990年","24000","三重県","2566",""
"1990年","25000","滋賀県","848",""
"1990年","26000","京都府","1373",""
"1990年","27000","大阪府","1621",""
"1990年","28000","兵庫県","2812",""
"1990年","29000","奈良県","661",""
"1990年","30000","和歌山県","1405",""
"1990年","31000","鳥取県","666",""
"1990年","32000","島根県","829",""
"1990年","33000","岡山県","1270",""
"1990年","34000","広島県","1253",""
"1990年","35000","山口県","1466",""
"1990年","36000","徳島県","958",""
"1990年","37000","香川県","900",""
"1990年","38000","愛媛県","1169",""
"1990年","39000","高知県","788",""
"1990年","40000","福岡県","1835",""
"1990年","41000","佐賀県","610",""
"1990年","42000","長崎県","1052",""
"1990年","43000","熊本県","1841",""
"1990年","44000","大分県","1646",""
"1990年","45000","宮崎県","758",""
"1990年","46000","鹿児島県","1709",""
"1990年","47000","沖縄県","956",""
"1991年","01000","北海道","4457",""
"1991年","02000","青森県","1387",""
"1991年","03000","岩手県","1296",""
"1991年","04000","宮城県","1228",""
"1991年","05000","秋田県","952",""
"1991年","06000","山形県","1299",""
"1991年","07000","福島県","2438",""
"1991年","08000","茨城県","1754",""
"1991年","09000","栃木県","2030",""
"1991年","10000","群馬県","1791",""
"1991年","11000","埼玉県","1117",""
"1991年","12000","千葉県","2332",""
"1991年","13000","東京都","2502",""
"1991年","14000","神奈川県","2507",""
"1991年","15000","新潟県","4029",""
"1991年","16000","富山県","759",""
"1991年","17000","石川県","1252",""
"1991年","18000","福井県","1533",""
"1991年","19000","山梨県","1833",""
"1991年","20000","長野県","4372",""
"1991年","21000","岐阜県","1999",""
"1991年","22000","静岡県","5558",""
"1991年","23000","愛知県","2288",""
"1991年","24000","三重県","2550",""
"1991年","25000","滋賀県","852",""
"1991年","26000","京都府","1348",""
"1991年","27000","大阪府","1583",""
"1991年","28000","兵庫県","2758",""
"1991年","29000","奈良県","629",""
"1991年","30000","和歌山県","1384",""
"1991年","31000","鳥取県","647",""
"1991年","32000","島根県","818",""
"1991年","33000","岡山県","1254",""
"1991年","34000","広島県","1233",""
"1991年","35000","山口県","1453",""
"1991年","36000","徳島県","955",""
"1991年","37000","香川県","888",""
"1991年","38000","愛媛県","1169",""
"1991年","39000","高知県","775",""
"1991年","40000","福岡県","1779",""
"1991年","41000","佐賀県","588",""
"1991年","42000","長崎県","1062",""
"1991年","43000","熊本県","1805",""
"1991年","44000","大分県","1641",""
"1991年","45000","宮崎県","778",""
"1991年","46000","鹿児島県","1692",""
"1991年","47000","沖縄県","972",""
"1992年","01000","北海道","4382",""
"1992年","02000","青森県","1378",""
"1992年","03000","岩手県","1286",""
"1992年","04000","宮城県","1224",""
"1992年","05000","秋田県","961",""
"1992年","06000","山形県","1300",""
"1992年","07000","福島県","2425",""
"1992年","08000","茨城県","1738",""
"1992年","09000","栃木県","2069",""
"1992年","10000","群馬県","1807",""
"1992年","11000","埼玉県","1112",""
"1992年","12000","千葉県","2314",""
"1992年","13000","東京都","2479",""
"1992年","14000","神奈川県","2484",""
"1992年","15000","新潟県","3958",""
"1992年","16000","富山県","759",""
"1992年","17000","石川県","1237",""
"1992年","18000","福井県","1548",""
"1992年","19000","山梨県","1854",""
"1992年","20000","長野県","4387",""
"1992年","21000","岐阜県","1986",""
"1992年","22000","静岡県","5545",""
"1992年","23000","愛知県","2240",""
"1992年","24000","三重県","2482",""
"1992年","25000","滋賀県","850",""
"1992年","26000","京都府","1328",""
"1992年","27000","大阪府","1563",""
"1992年","28000","兵庫県","2688",""
