"時点","地域コード","地域","売上高（サービス産業）（サービス産業動向調査拡大調査）【百万円】","注記","売上高（サービス産業）（運輸業，郵便業）　（サービス産業動向調査拡大調査）【百万円】","注記","売上高（サービス産業）（不動産業，物品賃貸業）　（サービス産業動向調査拡大調査）【百万円】","注記","売上高（サービス産業）（学術研究，専門・技術サービス業）　（サービス産業動向調査拡大調査）【百万円】","注記","売上高（サービス産業）（宿泊業，飲食サービス業）　（サービス産業動向調査拡大調査）【百万円】","注記","売上高（サービス産業）（生活関連サービス業，娯楽業）　（サービス産業動向調査拡大調査）【百万円】","注記","売上高（教育，学習支援業）（サービス産業動向調査拡大調査）【百万円】","注記","売上高（医療，福祉）（サービス産業動向調査拡大調査）【百万円】","注記"
"2014年","40000","福岡県","11149429","","2170982","","1609277","","1015727","","1017670","","1590323","","150087","","2495804",""
"2014年","41000","佐賀県","1404983","","403061","","77821","","38101","","125488","","273899","","11075","","371514",""
"2014年","42000","長崎県","2125263","","257872","","124969","","140946","","207090","","543626","","24404","","597675",""
"2014年","43000","熊本県","2640130","","454272","","310764","","131525","","348938","","357613","","29991","","741391",""
"2014年","44000","大分県","1809045","","262187","","182896","","125415","","222566","","402190","","21316","","460285",""
"2014年","45000","宮崎県","1603284","","252942","","145684","","91526","","178916","","294030","","11200","","521811",""
"2014年","46000","鹿児島県","2534636","","504367","","220019","","108384","","212208","","381548","","14924","","893207",""
"2014年","47000","沖縄県","1973670","","230142","","267066","","127742","","351686","","188403","","22299","","573779",""
"2015年","01000","北海道","10757528","","2031997","","1375980","","686358","","1092400","","1655196","","81655","","2525801",""
"2015年","02000","青森県","2171691","","394874","","202503","","168965","","193045","","378757","","13280","","568456",""
"2015年","03000","岩手県","2240121","","499698","","237128","","122714","","195697","","386294","","13541","","589300",""
"2015年","04000","宮城県","4947685","","913787","","790710","","397733","","464338","","769886","","57584","","892152",""
"2015年","05000","秋田県","1477941","","208546","","133276","","66922","","138718","","279015","","15195","","469881",""
"2015年","06000","山形県","1546608","","294649","","136933","","75024","","172296","","266197","","18374","","426058",""
"2015年","07000","福島県","3544030","","606992","","422637","","301858","","324900","","696128","","32585","","796523",""
"2015年","08000","茨城県","5066850","","1169950","","430796","","494588","","400448","","866208","","70286","","949666",""
"2015年","09000","栃木県","3728288","","846852","","313266","","185687","","375309","","664291","","51124","","732848",""
"2015年","10000","群馬県","3514973","","632733","","295155","","217994","","343463","","726340","","31900","","755341",""
"2015年","11000","埼玉県","12265885","","3052428","","1813332","","505878","","1022516","","1873066","","172288","","2291616",""
"2015年","12000","千葉県","12529570","","3239011","","1385240","","711072","","1258388","","2029529","","154731","","2026849",""
"2015年","13000","東京都","75684686","","15503517","","17609273","","12189412","","5181098","","9055315","","938640","","5688483",""
"2015年","14000","神奈川県","18443130","","4172452","","3033283","","1321437","","1680567","","2670592","","373604","","2997757",""
"2015年","15000","新潟県","3634631","","857330","","371306","","209810","","408888","","480716","","66513","","877113",""
"2015年","16000","富山県","1773619","","380189","","129574","","150809","","199194","","236919","","19141","","458588",""
"2015年","17000","石川県","2362877","","364184","","272860","","155111","","301632","","375356","","23274","","621205",""
"2015年","18000","福井県","1433731","","221017","","71930","","136433","","166866","","331511","","15254","","328434",""
"2015年","19000","山梨県","1406915","","245086","","102913","","68198","","175378","","319278","","14273","","328680",""
"2015年","20000","長野県","3563164","","674676","","341545","","179749","","531883","","543144","","39999","","920857",""
"2015年","21000","岐阜県","2922913","","528225","","236215","","150314","","418418","","529123","","38470","","731567",""
"2015年","22000","静岡県","7862918","","1793516","","910782","","425398","","925796","","1381418","","115570","","1535129",""
"2015年","23000","愛知県","18251790","","4100409","","2727156","","1270563","","1540636","","2808773","","219659","","3055787",""
"2015年","24000","三重県","3472330","","798503","","355799","","246948","","365125","","481106","","25988","","828778",""
"2015年","25000","滋賀県","2008830","","329252","","269189","","165315","","189744","","375329","","40969","","419365",""
"2015年","26000","京都府","5513551","","1109373","","692024","","313745","","654150","","874355","","75668","","1162533",""
"2015年","27000","大阪府","25593753","","5267861","","5287658","","2316572","","2039984","","3349978","","258262","","4065090",""
"2015年","28000","兵庫県","11059549","","2689633","","1372304","","712522","","1154206","","1372420","","118733","","2490603",""
"2015年","29000","奈良県","1646229","","207069","","171244","","73023","","168812","","313887","","35173","","506181",""
"2015年","30000","和歌山県","1446317","","174660","","129022","","128689","","186181","","179310","","36015","","450993",""
"2015年","31000","鳥取県","905211","","139433","","62042","","57805","","85626","","186754","","9353","","267563",""
"2015年","32000","島根県","1056819","","138972","","121497","","55683","","103818","","142973","","11136","","392416",""
"2015年","33000","岡山県","3898641","","1035174","","408285","","287172","","296918","","513442","","42357","","877975",""
"2015年","34000","広島県","6086319","","1383903","","809585","","421328","","476613","","990505","","56321","","1375831",""
"2015年","35000","山口県","2475911","","521700","","192785","","194369","","210857","","441920","","37635","","598496",""
"2015年","36000","徳島県","1165695","","229156","","96445","","73020","","118583","","169602","","10086","","386899",""
"2015年","37000","香川県","1866687","","457707","","208011","","137813","","157455","","303276","","29379","","392228",""
"2015年","38000","愛媛県","2577162","","698655","","186587","","133860","","194926","","479742","","25027","","635334",""
"2015年","39000","高知県","1055167","","116388","","78867","","72381","","121082","","233672","","4188","","355211",""
"2015年","40000","福岡県","11339379","","2113648","","1787542","","1125777","","1002955","","1617941","","126889","","2373632",""
